"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_symbol"
"Asrgl1",2.74801572417392e-10,-0.141315686838771,0.308,0.353,7.69389442454214e-06,"Asrgl1"
"Ibtk",2.80103513808702e-10,0.0492984050697171,0.134,0.099,7.84233817961605e-06,"Ibtk"
"Ncln",2.94933460316075e-10,0.0642891583934662,0.189,0.149,8.25754702192946e-06,"Ncln"
"Fbxl3",2.95918281833601e-10,0.0642934814471104,0.247,0.2,8.28512005477716e-06,"Fbxl3"
"Eed",2.96813014078456e-10,0.0622218494267891,0.177,0.138,8.31017076816862e-06,"Eed"
"Fam195a",2.97057963423647e-10,0.0475069837905865,0.115,0.083,8.31702885993528e-06,"Fam195a"
"Abhd17c",3.07003270930509e-10,0.0509817625680029,0.125,0.091,8.59547757951238e-06,"Abhd17c"
"Dixdc1",3.10847237432321e-10,0.0636406502431823,0.458,0.4,8.70310095363013e-06,"Dixdc1"
"Fbxl18",3.12630242727236e-10,0.0450614131401297,0.105,0.074,8.75302153587714e-06,"Fbxl18"
"Aamdc",3.17503251023319e-10,0.0819206523172925,0.391,0.339,8.8894560221509e-06,"Aamdc"
"Khk",3.18564791810595e-10,0.0519358804824588,0.136,0.101,8.91917704111305e-06,"Khk"
"Sirt7",3.23001527707813e-10,0.0689785238194479,0.265,0.217,9.04339677276334e-06,"Sirt7"
"Nipa1",3.2317992836486e-10,-0.142386505605455,0.199,0.241,9.04839163435936e-06,"Nipa1"
"Ide",3.29569272567704e-10,0.0732128247957663,0.279,0.232,9.22728049335057e-06,"Ide"
"Prmt3",3.3005226762934e-10,0.0619500463239261,0.163,0.126,9.24080338908626e-06,"Prmt3"
"Qser1",3.3832148113075e-10,0.0454438612921492,0.11,0.078,9.47232482869874e-06,"Qser1"
"Hrsp12",3.42343259536899e-10,0.064883789656197,0.223,0.179,9.5849265805141e-06,"Hrsp12"
"Stt3a",3.4713082813228e-10,0.0802866055283125,0.3,0.253,9.71896892604757e-06,"Stt3a"
"Mus81",3.73432549985821e-10,0.0481490217265446,0.139,0.103,1.0455364534503e-05,"Mus81"
"Esrra",3.7458182274141e-10,0.0486293879481983,0.114,0.082,1.0487541873114e-05,"Esrra"
"Papd4",3.75012340344568e-10,0.0485837908005837,0.112,0.08,1.04995955049672e-05,"Papd4"
"Alkbh5",3.819838937955e-10,0.0773550654648432,0.358,0.306,1.06947850584864e-05,"Alkbh5"
"Trim11",3.88668259935732e-10,0.0495538728093151,0.123,0.09,1.08819339416806e-05,"Trim11"
"Bin1",4.23347144245711e-10,-0.473696685250124,0.714,0.675,1.18528733445914e-05,"Bin1"
"Elp4",5.02454101012176e-10,0.0591428597284413,0.184,0.144,1.40677099201389e-05,"Elp4"
"Ormdl2",5.29453927278304e-10,-0.0598243909091289,0.08,0.115,1.4823651055938e-05,"Ormdl2"
"Arid5b",5.30353083235137e-10,0.0966055343474494,0.327,0.28,1.48488256244174e-05,"Arid5b"
"Prrc1",5.50780374348611e-10,0.0445867298434955,0.11,0.079,1.54207489210124e-05,"Prrc1"
"Hivep1",5.52474508801802e-10,0.0521207272469403,0.129,0.096,1.54681812974328e-05,"Hivep1"
"Kansl1l",5.85169863569921e-10,0.0431752792650936,0.115,0.083,1.63835858402307e-05,"Kansl1l"
"Ndrg2",6.04511424244436e-10,-0.202792362108806,0.306,0.348,1.69251108559957e-05,"Ndrg2"
"Col9a3",6.40562794280344e-10,-0.0991985758364343,0.067,0.1,1.79344771142611e-05,"Col9a3"
"Echdc1",6.48837075928238e-10,0.0714187974498824,0.21,0.169,1.81661404518388e-05,"Echdc1"
"Dbndd2",6.51763518046154e-10,-0.357075845641957,0.424,0.435,1.82480749782562e-05,"Dbndd2"
"Npc1",6.57127793263652e-10,-0.0959396528259311,0.206,0.252,1.83982639557957e-05,"Npc1"
"Cystm1",7.25548061235472e-10,0.0781742523091338,0.698,0.647,2.03138946184708e-05,"Cystm1"
"Gm10094",7.52541484969991e-10,0.0616218219731206,0.196,0.156,2.10696564961898e-05,"Gm10094"
"Ppt2",7.54895900473085e-10,0.0592285477866681,0.168,0.131,2.11355754214454e-05,"Ppt2"
"Dpp3",7.87417026759703e-10,0.0651075095449536,0.178,0.14,2.20461019152182e-05,"Dpp3"
"Bhlhe40",7.91825032039044e-10,0.0541479929966211,0.197,0.156,2.21695172470291e-05,"Bhlhe40"
"Tdrd3",8.1681703477356e-10,0.0434568761005105,0.105,0.075,2.28692433395901e-05,"Tdrd3"
"Kcna2",8.19361626238233e-10,0.0595665195689353,0.187,0.146,2.29404868114181e-05,"Kcna2"
"Wbp1",8.3083247045788e-10,0.0632044260925185,0.23,0.186,2.32616475078797e-05,"Wbp1"
"Fign",8.40830041941576e-10,0.128652529557269,0.133,0.101,2.35415595142802e-05,"Fign"
"Pygo2",8.46021249603141e-10,0.0433459392909353,0.1,0.07,2.36869029463888e-05,"Pygo2"
"Usf2",8.62238549140026e-10,0.0681175010596845,0.33,0.28,2.41409548988224e-05,"Usf2"
"Coro7",8.9793126348901e-10,0.0494267343153035,0.149,0.113,2.51402795151653e-05,"Coro7"
"Pcyt1b",9.18428351100416e-10,0.0457520482384261,0.116,0.085,2.57141569741094e-05,"Pcyt1b"
"Fem1a",9.65896537478201e-10,0.0511048329267871,0.13,0.096,2.70431712563147e-05,"Fem1a"
"Pcolce2",9.86037089966685e-10,-0.0591239472805728,0.068,0.101,2.76070664448873e-05,"Pcolce2"
"Pmm2",1.06276717311588e-09,0.0556930084808918,0.162,0.125,2.97553553128985e-05,"Pmm2"
"Fam21",1.09352841132733e-09,0.0857984909959528,0.435,0.383,3.06166084603425e-05,"Fam21"
"Ddx39",1.10987956540414e-09,0.0585705986408241,0.16,0.124,3.10744080721852e-05,"Ddx39"
"Tmem256",1.1739728888657e-09,0.110832793257423,0.633,0.595,3.28688929424619e-05,"Tmem256"
"Pvrl1",1.21083608910648e-09,0.0521696949489733,0.138,0.104,3.39009888228033e-05,"Pvrl1"
"Rab11fip3",1.38879500089923e-09,0.045747332174877,0.101,0.072,3.88834824351766e-05,"Rab11fip3"
"Dhcr24",1.4265835987393e-09,0.0596268024349241,0.23,0.186,3.99414875975029e-05,"Dhcr24"
"Gm5617",1.42984067732046e-09,0.0589002415042999,0.15,0.115,4.00326792836183e-05,"Gm5617"
"Nxt2",1.43801264891299e-09,0.074765667058155,0.327,0.278,4.02614781442659e-05,"Nxt2"
"Rnf19a",1.44043501646227e-09,0.0607031859336365,0.159,0.123,4.03292995909107e-05,"Rnf19a"
"Cntfr",1.46915537484795e-09,0.0607769754148119,0.276,0.228,4.1133412184993e-05,"Cntfr"
"Bnip2",1.495923615859e-09,0.0588048905599691,0.206,0.165,4.18828693968202e-05,"Bnip2"
"Slc11a2",1.59329429505896e-09,0.0413874916153831,0.154,0.117,4.46090536730609e-05,"Slc11a2"
"Tnpo1",1.59428954756612e-09,0.0585086767788945,0.172,0.134,4.46369187527562e-05,"Tnpo1"
"P4ha1",1.61691742447064e-09,0.0745633876938417,0.257,0.213,4.52704540503291e-05,"P4ha1"
"Pnp",1.68449044146302e-09,0.0515309811206328,0.144,0.109,4.71623633800817e-05,"Pnp"
