"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_symbol"
"Xndc1",1.94618090708693e-09,0.102541870301289,0.146,0.082,5.44891730366198e-05,"Xndc1"
"Plin3",1.94839603268531e-09,-0.22406985124074,0.044,0.119,5.45511921231234e-05,"Plin3"
"D430042O09Rik",1.95595586947122e-09,0.130979135956996,0.204,0.127,5.47628524334552e-05,"D430042O09Rik"
"Anks3",1.95832027374718e-09,0.121918136458285,0.244,0.158,5.48290510243735e-05,"Anks3"
"Mettl5",1.96745897020383e-09,0.163844621295486,0.274,0.187,5.50849162477667e-05,"Mettl5"
"Atic",1.9893192565961e-09,0.135706090453205,0.283,0.19,5.56969605461776e-05,"Atic"
"Csad",2.00083683305591e-09,0.102941254896934,0.221,0.137,5.60194296518993e-05,"Csad"
"Gpc6",2.01106088731324e-09,0.111996999891923,0.152,0.086,5.63056827229962e-05,"Gpc6"
"Dnaja4",2.01465629603102e-09,0.126106636979357,0.236,0.152,5.64063469762764e-05,"Dnaja4"
"Pfkfb4",2.01613461472485e-09,0.0996572783835533,0.166,0.096,5.64477369430664e-05,"Pfkfb4"
"Itm2a",2.02454733845014e-09,-0.166175401966782,0.23,0.145,5.6683276381927e-05,"Itm2a"
"Adcy2",2.03252362238284e-09,0.155581926845521,0.201,0.125,5.69065963794749e-05,"Adcy2"
"Sike1",2.03388961520204e-09,0.130730910842484,0.265,0.176,5.69448414464267e-05,"Sike1"
"Acp2",2.0438410842933e-09,0.131169584652341,0.28,0.189,5.72234626780439e-05,"Acp2"
"Mb21d2",2.06535831555552e-09,0.100551521980111,0.139,0.076,5.78259021189233e-05,"Mb21d2"
"Lman1",2.08718491406084e-09,0.173979109311066,0.355,0.255,5.84370032238754e-05,"Lman1"
"Sharpin",2.09309968964613e-09,0.141682644136837,0.26,0.174,5.86026051107122e-05,"Sharpin"
"Sall2",2.10748623664417e-09,0.114202784982866,0.205,0.127,5.90053996535635e-05,"Sall2"
