"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_symbol"
"Syt11",0.00859338522940548,0.268046137952985,0.975,0.865,1,"Syt11"
"Gabrg1",0.00859733504377832,0.239494081821862,0.444,0.309,1,"Gabrg1"
"Nlgn2",0.00859863536405553,0.230888663884836,0.37,0.254,1,"Nlgn2"
"Smg1",0.00860760388567664,0.202646861981183,0.37,0.246,1,"Smg1"
"Ccdc74a",0.00861186009622959,0.116244896889792,0.185,0.098,1,"Ccdc74a"
"Sars2",0.00862604850769455,0.089744964437567,0.136,0.064,1,"Sars2"
"Ap3b1",0.00862749626055143,0.199954261990832,0.259,0.159,1,"Ap3b1"
"Dgki",0.00863672534100593,0.0807733636419978,0.111,0.048,1,"Dgki"
"Tpp2",0.00864131627462346,0.190004833989058,0.407,0.28,1,"Tpp2"
"Isy1",0.00865860117948345,0.130105248718673,0.198,0.108,1,"Isy1"
"Mat2a",0.00867185362335,0.219848316877392,0.802,0.71,1,"Mat2a"
"Smim11",0.00869049571618874,0.204297020215359,0.444,0.319,1,"Smim11"
"Ppa2",0.00871801327914183,0.272262667406105,0.395,0.289,1,"Ppa2"
"Prkdc",0.00871874300161934,0.122719846597855,0.16,0.081,1,"Prkdc"
"Atf4",0.00874353871262998,0.279534342927154,0.457,0.344,1,"Atf4"
"Txndc12",0.00874601184115302,0.179987368123722,0.395,0.269,1,"Txndc12"
"Amd1",0.00875383881721936,0.227731876250517,0.593,0.457,1,"Amd1"
"Abhd11",0.0087551267289585,0.187842617312248,0.333,0.22,1,"Abhd11"
"Rpap1",0.00877683779185505,0.0812133035840796,0.111,0.048,1,"Rpap1"
"Usp1",0.00879910321351505,0.147727269720407,0.259,0.155,1,"Usp1"
"Ninj2",0.00880395584142083,-0.201706919841574,0.025,0.118,1,"Ninj2"
"Wdr78",0.00884532861591836,0.117312054351023,0.136,0.065,1,"Wdr78"
"Whsc1l1",0.0088721598002846,0.272465000609288,0.543,0.427,1,"Whsc1l1"
"Sacm1l",0.00891720372543109,0.251822442421731,0.432,0.322,1,"Sacm1l"
"Sgms1",0.00892056624171904,0.123404089954175,0.259,0.154,1,"Sgms1"
"Dusp3",0.00892108973209975,0.176644857160056,0.432,0.305,1,"Dusp3"
"Tdrkh",0.00893374141468142,0.179230323882676,0.272,0.17,1,"Tdrkh"
"Pisd",0.00893519151271218,0.188121217461754,0.333,0.221,1,"Pisd"
"Pfn1",0.00895570074212643,0.272995953760537,0.802,0.729,1,"Pfn1"
"Rap1gds1",0.008997584853296,0.20289530533785,0.494,0.355,1,"Rap1gds1"
"Pdcd7",0.00900115574420594,0.311656360752675,0.383,0.27,1,"Pdcd7"
"Fgfr1",0.00901990094265842,0.251803029728812,0.309,0.201,1,"Fgfr1"
"Dstyk",0.00902211166288992,0.201624156353853,0.309,0.198,1,"Dstyk"
"Tmem65",0.00902817640950624,0.228717746273599,0.333,0.225,1,"Tmem65"
"Fdx1",0.00904560125143265,0.228546295706819,0.346,0.238,1,"Fdx1"
"Cdk11b",0.00905428835260441,0.234035581412615,0.494,0.37,1,"Cdk11b"
"Rnf217",0.00909139307091918,0.106933839142025,0.16,0.081,1,"Rnf217"
"Zfp697",0.00913040022455005,0.0801576730192576,0.111,0.048,1,"Zfp697"
"Rint1",0.00916197454460337,0.137389149712835,0.296,0.183,1,"Rint1"
"Trim11",0.00916578662743893,0.181059629400813,0.173,0.093,1,"Trim11"
